iter	Passed	Remaining
825	1908	401
826	1910	399
827	1912	397
828	1914	394
829	1916	392
830	1918	390
831	1920	387
832	1922	385
833	1925	383
834	1927	380
835	1929	378
836	1932	376
837	1933	373
838	1936	371
839	1938	369
840	1941	366
841	1943	364
842	1945	362
843	1947	360
844	1949	357
845	1951	355
846	1953	352
847	1956	350
848	1958	348
849	1960	345
850	1962	343
851	1964	341
852	1966	338
853	1968	336
854	1971	334
855	1973	332
856	1976	329
857	1978	327
858	1980	325
859	1982	322
860	1984	320
861	1986	317
862	1988	315
863	1990	313
864	1992	310
865	1994	308
866	1996	306
867	1998	303
868	2001	301
869	2003	299
870	2005	297
871	2008	294
872	2010	292
873	2012	290
874	2014	287
875	2016	285
876	2018	283
877	2020	280
878	2023	278
879	2025	276
880	2027	273
881	2029	271
882	2031	269
883	2033	266
884	2036	264
885	2038	262
886	2040	259
887	2042	257
888	2044	255
889	2047	253
890	2049	250
891	2051	248
892	2053	246
893	2055	243
894	2057	241
895	2059	239
896	2062	236
897	2064	234
898	2066	232
899	2068	229
900	2070	227
901	2072	225
902	2074	222
903	2077	220
904	2079	218
905	2081	215
906	2083	213
907	2085	211
908	2087	208
909	2089	206
910	2091	204
911	2094	202
912	2096	199
913	2098	197
914	2100	195
915	2102	192
916	2104	190
917	2107	188
918	2109	185
919	2111	183
920	2113	181
921	2115	179
922	2117	176
923	2120	174
924	2122	172
925	2124	169
926	2126	167
927	2129	165
928	2131	162
929	2133	160
930	2135	158
931	2137	155
932	2139	153
933	2141	151
934	2143	149
935	2145	146
936	2147	144
937	2149	142
938	2151	139
939	2154	137
940	2156	135
941	2158	132
942	2160	130
943	2162	128
944	2164	125
945	2166	123
946	2169	121
947	2171	119
948	2173	116
949	2175	114
950	2177	112
951	2179	109
952	2181	107
953	2184	105
954	2186	103
955	2188	100
956	2190	98
957	2192	96
958	2194	93
959	2196	91
960	2199	89
961	2201	86
962	2203	84
963	2205	82
964	2207	80
965	2209	77
966	2211	75
967	2214	73
968	2216	70
969	2218	68
970	2220	66
971	2222	64
972	2225	61
973	2227	59
974	2230	57
975	2232	54
976	2234	52
977	2236	50
978	2239	48
979	2241	45
980	2244	43
981	2246	41
982	2248	38
983	2250	36
984	2252	34
985	2254	32
986	2256	29
987	2259	27
988	2261	25
989	2263	22
990	2265	20
991	2267	18
992	2269	16
993	2272	13
994	2275	11
995	2277	9
996	2279	6
997	2281	4
998	2283	2
999	2285	0
